Sex,Age,Height,Weight,Sport
M,24.0,180.0,80.0,Basketball
M,23.0,170.0,60.0,Judo
M,28.0,175.0,64.0,Gymnastics
M,28.0,175.0,64.0,Gymnastics
M,28.0,175.0,64.0,Gymnastics
M,28.0,175.0,64.0,Gymnastics
M,28.0,175.0,64.0,Gymnastics
M,28.0,175.0,64.0,Gymnastics
M,28.0,175.0,64.0,Gymnastics
M,28.0,175.0,64.0,Gymnastics
M,32.0,175.0,64.0,Gymnastics
M,32.0,175.0,64.0,Gymnastics
M,32.0,175.0,64.0,Gymnastics
M,32.0,175.0,64.0,Gymnastics
M,32.0,175.0,64.0,Gymnastics
M,32.0,175.0,64.0,Gymnastics
M,32.0,175.0,64.0,Gymnastics
M,32.0,175.0,64.0,Gymnastics
M,31.0,189.0,130.0,Athletics
M,24.0,174.0,70.0,Athletics
M,30.0,187.0,76.0,Athletics
F,23.0,182.0,64.0,Football
M,22.0,177.0,74.0,Athletics
M,22.0,177.0,74.0,Athletics
M,26.0,177.0,74.0,Athletics
M,30.0,177.0,74.0,Athletics
F,24.0,168.0,65.0,Athletics
F,28.0,168.0,65.0,Athletics
M,23.0,167.0,64.0,Gymnastics
M,23.0,167.0,64.0,Gymnastics
M,23.0,167.0,64.0,Gymnastics
M,23.0,167.0,64.0,Gymnastics
M,23.0,167.0,64.0,Gymnastics
M,23.0,167.0,64.0,Gymnastics
M,22.0,189.0,80.0,Athletics
M,26.0,170.0,65.0,Athletics
M,26.0,175.0,72.0,Football
F,22.0,179.0,80.0,Athletics
F,26.0,179.0,80.0,Athletics
F,19.0,185.0,72.0,Basketball
M,22.0,185.0,82.0,Football
M,22.0,190.0,77.0,Football
M,22.0,182.0,67.0,Athletics
M,26.0,182.0,67.0,Athletics
F,25.0,168.0,105.0,Athletics
M,27.0,190.0,80.0,Athletics
M,21.0,180.0,73.0,Football
F,35.0,155.0,43.0,Athletics
M,18.0,168.0,60.0,Athletics
M,16.0,180.0,70.0,Athletics
M,23.0,176.0,64.0,Athletics
M,23.0,176.0,64.0,Athletics
M,27.0,176.0,64.0,Athletics
M,20.0,175.0,66.0,Athletics
M,22.0,190.0,88.0,Athletics
M,22.0,175.0,80.0,Football
M,20.0,160.0,65.0,Athletics
M,24.0,181.0,74.0,Athletics
M,22.0,178.0,78.0,Athletics
M,22.0,178.0,78.0,Athletics
M,22.0,181.0,74.0,Athletics
M,23.0,192.0,90.0,Football
M,29.0,195.0,85.0,Basketball
M,26.0,183.0,75.0,Athletics
M,25.0,163.0,57.0,Athletics
M,21.0,168.0,57.0,Athletics
M,29.0,168.0,57.0,Athletics
M,23.0,169.0,68.0,Athletics
F,19.0,158.0,49.0,Athletics
M,25.0,189.0,85.0,Basketball
M,23.0,178.0,67.0,Basketball
M,27.0,178.0,67.0,Basketball
M,19.0,198.0,80.0,Basketball
M,23.0,198.0,80.0,Basketball
M,21.0,176.0,74.0,Athletics
M,26.0,175.0,81.0,Judo
M,21.0,170.0,58.0,Athletics
M,23.0,184.0,68.0,Football
M,20.0,165.0,60.0,Judo
M,23.0,194.0,96.0,Athletics
M,22.0,167.0,63.0,Gymnastics
M,22.0,167.0,63.0,Gymnastics
M,22.0,167.0,63.0,Gymnastics
M,22.0,167.0,63.0,Gymnastics
M,22.0,167.0,63.0,Gymnastics
M,24.0,170.0,63.0,Athletics
M,19.0,170.0,63.0,Athletics
M,23.0,170.0,63.0,Athletics
M,27.0,176.0,56.0,Athletics
M,27.0,176.0,56.0,Athletics
M,30.0,178.0,66.0,Athletics
M,34.0,178.0,66.0,Athletics
M,19.0,177.0,65.0,Athletics
M,23.0,177.0,65.0,Athletics
M,21.0,170.0,57.0,Athletics
M,25.0,170.0,57.0,Athletics
M,23.0,178.0,61.0,Athletics
M,27.0,178.0,61.0,Athletics
M,31.0,178.0,61.0,Athletics
M,35.0,178.0,61.0,Athletics
M,24.0,183.0,75.0,Football
M,23.0,185.0,67.0,Athletics
M,23.0,188.0,78.0,Basketball
F,17.0,147.0,50.0,Athletics
M,24.0,184.0,70.0,Athletics
M,22.0,180.0,73.0,Football
M,22.0,169.0,65.0,Football
M,23.0,169.0,60.0,Athletics
M,23.0,169.0,60.0,Athletics
M,17.0,176.0,68.0,Athletics
M,17.0,168.0,54.0,Athletics
M,26.0,172.0,70.0,Football
M,24.0,173.0,64.0,Athletics
F,22.0,163.0,56.0,Athletics
F,26.0,163.0,56.0,Athletics
M,24.0,180.0,72.0,Football
M,21.0,185.0,80.0,Football
M,22.0,175.0,75.0,Football
M,21.0,172.0,66.0,Athletics
M,21.0,172.0,66.0,Athletics
M,25.0,172.0,66.0,Athletics
M,25.0,172.0,66.0,Athletics
F,22.0,180.0,59.0,Athletics
M,27.0,164.0,55.0,Athletics
F,21.0,170.0,47.0,Athletics
M,23.0,168.0,68.0,Football
M,20.0,168.0,62.0,Football
M,18.0,150.0,60.0,Athletics
M,19.0,181.0,66.0,Athletics
M,23.0,181.0,66.0,Athletics
M,23.0,202.0,104.0,Basketball
M,29.0,192.0,117.0,Judo
M,26.0,190.0,125.0,Athletics
M,34.0,190.0,125.0,Athletics
M,24.0,177.0,75.0,Athletics
M,23.0,173.0,68.0,Athletics
M,23.0,173.0,68.0,Athletics
M,24.0,178.0,70.0,Basketball
M,28.0,178.0,70.0,Basketball
M,22.0,177.0,75.0,Football
M,21.0,160.0,50.0,Athletics
M,21.0,160.0,50.0,Athletics
M,19.0,190.0,73.0,Football
F,19.0,160.0,48.0,Gymnastics
F,19.0,160.0,48.0,Gymnastics
F,19.0,160.0,48.0,Gymnastics
F,19.0,160.0,48.0,Gymnastics
F,19.0,160.0,48.0,Gymnastics
F,19.0,160.0,48.0,Gymnastics
F,25.0,165.0,55.0,Gymnastics
F,25.0,165.0,55.0,Gymnastics
F,25.0,165.0,55.0,Gymnastics
F,25.0,165.0,55.0,Gymnastics
F,25.0,165.0,55.0,Gymnastics
F,25.0,163.0,46.0,Athletics
F,29.0,163.0,46.0,Athletics
M,22.0,184.0,85.0,Athletics
M,30.0,184.0,85.0,Athletics
F,18.0,153.0,48.0,Gymnastics
F,18.0,153.0,48.0,Gymnastics
F,18.0,153.0,48.0,Gymnastics
F,18.0,153.0,48.0,Gymnastics
F,18.0,153.0,48.0,Gymnastics
M,22.0,176.0,66.0,Football
M,37.0,174.0,63.0,Athletics
F,23.0,173.0,61.0,Athletics
M,22.0,166.0,58.0,Athletics
M,24.0,192.0,68.0,Athletics
M,19.0,181.0,78.0,Athletics
M,19.0,181.0,78.0,Athletics
F,30.0,170.0,60.0,Athletics
M,27.0,181.0,78.0,Athletics
M,23.0,187.0,75.0,Football
M,24.0,173.0,66.0,Athletics
F,21.0,159.0,40.0,Athletics
F,21.0,159.0,40.0,Athletics
F,25.0,159.0,40.0,Athletics
F,25.0,159.0,40.0,Athletics
M,22.0,179.0,72.0,Football
F,27.0,160.0,78.0,Judo
M,19.0,169.0,62.0,Athletics
F,24.0,173.0,53.0,Athletics
F,27.0,168.0,60.0,Football
F,31.0,168.0,60.0,Football
F,24.0,159.0,54.0,Athletics
F,26.0,164.0,58.0,Athletics
M,19.0,182.0,68.0,Athletics
M,19.0,161.0,62.0,Gymnastics
M,19.0,161.0,62.0,Gymnastics
M,19.0,161.0,62.0,Gymnastics
M,19.0,161.0,62.0,Gymnastics
M,19.0,161.0,62.0,Gymnastics
M,19.0,161.0,62.0,Gymnastics
M,24.0,161.0,62.0,Gymnastics
M,24.0,161.0,62.0,Gymnastics
M,24.0,161.0,62.0,Gymnastics
M,24.0,161.0,62.0,Gymnastics
M,20.0,176.0,70.0,Football
F,17.0,170.0,53.0,Athletics
M,26.0,175.0,61.0,Athletics
M,26.0,175.0,61.0,Athletics
M,25.0,168.0,59.0,Athletics
M,29.0,205.0,102.0,Basketball
M,30.0,182.0,79.0,Athletics
M,20.0,171.0,65.0,Football
M,21.0,190.0,65.0,Athletics
M,25.0,190.0,65.0,Athletics
M,23.0,175.0,75.0,Athletics
M,31.0,180.0,64.0,Athletics
M,26.0,178.0,81.0,Judo
M,33.0,182.0,77.0,Football
M,22.0,193.0,78.0,Athletics
M,25.0,186.0,84.0,Athletics
